book_name,price,year,pub,authors,rating,rate_people,desc,img
太白金星有点烦, 45.00, 2023-6 ,湖南文艺出版社,马伯庸 ,9.0,80431,太白金星李长庚最近有点烦。 天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌...,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg
长安的荔枝, 45.00元, 2022-10 ,湖南文艺出版社,马伯庸 ,8.5,178147,大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢...,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
额尔古纳河右岸, 32.00元, 2019-6-1 ,人民文学出版社,迟子建 ,9.1,42931,《额尔古纳河右岸》是一部描写鄂温克人生存现状及百年沧桑的长篇小说，展示了弱小民族在严酷的自然环境和现代文明的挤压下的顽强生命力和不屈不挠的民族精神，以及丰富...,https://img1.doubanio.com/view/subject/s/public/s34734949.jpg
繁花, 48.00元, 2013-3 ,上海文艺出版社,金宇澄 ,8.6,41511,这是一部地域小说，人物的行走，可找到“有形”地图的对应。这也是一部记忆小说，六十年代的少年旧梦，辐射广泛，处处人间烟火的斑斓记忆，九十年代的声色犬马，是一场...,https://img3.doubanio.com/view/subject/s/public/s26037307.jpg
明亮的夜晚, 52, 2023-8 ,台海出版社,[韩]崔恩荣  叶蕾 ,9.0,19427,我有一个愿望，想写一写妈妈或祖母，很久以前生活在这片土地上的女性的故事。 一部女性版的《活着》，四代女性的友谊、抗争、泪水与欢笑 韩国最大网络书店22万读者...,https://img3.doubanio.com/view/subject/s/public/s34577743.jpg
活着, 20.00元, 2012-8 ,作家出版社,余华 ,9.4,829919,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...,https://img9.doubanio.com/view/subject/s/public/s29869926.jpg
我们八月见, 39.00元, 2024-3-6 ,南海出版公司,[哥伦比亚]加西亚·马尔克斯  侯健 ,7.9,4397,★加西亚·马尔克斯逝世十周年，遗作小说全球同步首发 ★献给命运，献给欲望，献给未被岁月摧磨的欢愉 ★作家晚年改稿五版，与记忆力和死亡角逐、顶风破浪的最后之作...,https://img1.doubanio.com/view/subject/s/public/s34797230.jpg
十八岁出门远行, 45元, 2024-3-7 ,江苏凤凰文艺出版社,余华 ,7.9,3045,一定要出去闯闯，哪怕鼻青脸肿！ ◆余华成名作！ ◆一战成名！一发表就震惊文坛，让27岁的余华开始载入中国当代文学史。 ◆《十八岁出门远行》预告着余华“现象”...,https://img1.doubanio.com/view/subject/s/public/s34804300.jpg
名侦探的献祭 : 人民教会杀人事件, 59.00元, 2023-9 ,九州出版社,[日] 白井智之  吕灵芝 ,7.1,8563,—————————编辑推荐———————————————— 1.改编自震惊世界的“人民圣殿教”惨案，900多人集体自杀背后的真相细思极恐！ 以1978年人民...,https://img9.doubanio.com/view/subject/s/public/s34681654.jpg
秋园, 38.00元, 2020-6 ,北京联合出版公司,杨本芬 ,9.0,105745,听八旬奶奶讲述她和妈妈的故事。 1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的...,https://img1.doubanio.com/view/subject/s/public/s33640730.jpg
豆子芝麻茶 : 和妈妈的最后絮叨, 39.8, 2023-10 ,广东人民出版社,杨本芬 ,8.6,13569,《豆子芝麻茶》是杨本芬“看见女性”系列的第四本书，是一本珍贵的平民史歌。 本书分为两部分：“过去的婚姻”和“伤心的极限”。 在讲述过母亲（《秋园》）、乡亲（...,https://img3.doubanio.com/view/subject/s/public/s34669097.jpg
巴别塔, 98.00元, 2023-10 ,中信出版集团,[美] 匡灵秀  陈阳 ,8.1,3441,❤️‍🔥我渴望被世界理解，哪怕徒劳无功 🧙‍♀️27岁华裔女作家匡灵秀斩获科幻界诺奖星云奖，轨迹奖，英国国家图书奖 🪄语言即魔法，翻译即背叛 🎆设定新颖的银...,https://img1.doubanio.com/view/subject/s/public/s34640760.jpg
一句顶一万句, 68.00元, 2022-8 ,花城出版社,刘震云 ,9.0,9632,《一句顶一万句》是著名作家刘震云的扛鼎之作，也是刘震云迄今为止最成熟最大气的作品，并在2011年获第八届茅盾文学奖。 小说分上下两个部分，前半部“出延津记”...,https://img9.doubanio.com/view/subject/s/public/s34289066.jpg
绝叫, 58.00元, 2020-7 ,北京联合出版公司,[日] 叶真中显  林佩瑾 ,8.9,102322,罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。” 豆瓣「2020年度读书榜单」推理·悬疑类top1！ 怀才者的自怜是天...,https://img3.doubanio.com/view/subject/s/public/s33685372.jpg
